date,fund_family,method,method_type,gross_return,turnover,transaction_cost,net_return,live_rebalance_date,decision_date,estimation_start,estimation_end,asset_count,missing_return_asset_count,growth_gross,growth_net,drawdown_gross,drawdown_net
2021-01-04,Combined,Equal Weight,benchmark,-0.003890754794180158,1.0,0.001,-0.004890754794180158,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,0.9961092452058199,0.9951092452058199,0.0,0.0
2021-01-05,Combined,Equal Weight,benchmark,0.018120376539992045,0.0,0.0,0.018120376539992045,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0141591198039166,1.0131409994273766,0.0,0.0
2021-01-06,Combined,Equal Weight,benchmark,0.04018247716107984,0.0,0.0,0.04018247716107984,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0549105454731385,1.0538515144978209,0.0,0.0
2021-01-07,Combined,Equal Weight,benchmark,0.010143704534638195,0.0,0.0,0.010143704534638195,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.065611246356892,1.0645414728842677,0.0,0.0
2021-01-08,Combined,Equal Weight,benchmark,0.0012208607118854038,0.0,0.0,0.0012208607118854038,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0669122092617123,1.0658411297446846,0.0,0.0
2021-01-11,Combined,Equal Weight,benchmark,-0.021524225782496312,0.0,0.0,-0.021524225782496312,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0439477499794612,1.042899724619789,-0.021524225782496353,-0.021524225782496242
2021-01-12,Combined,Equal Weight,benchmark,-0.0006109898860971224,0.0,0.0,-0.0006109898860971224,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0433099084626098,1.042262523435833,-0.0221220645843343,-0.02212206458433419
2021-01-13,Combined,Equal Weight,benchmark,0.013803567861465397,0.0,0.0,0.013803567861465397,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0577113075846127,1.0566494649075415,-0.00862386014259453,-0.00862386014259453
2021-01-14,Combined,Equal Weight,benchmark,0.005860779073975743,0.0,0.0,0.005860779073975743,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0639103198824122,1.0628422539799993,-0.0028136236076793386,-0.0028136236076793386
2021-01-15,Combined,Equal Weight,benchmark,-0.015495323336940953,0.0,0.0,-0.015495323336940953,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.047424685474326,1.0463731695984162,-0.018265348937070658,-0.01826534893707077
2021-01-19,Combined,Equal Weight,benchmark,0.007634480717274238,0.0,0.0,0.007634480717274238,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0554212290383767,1.0543616853847884,-0.010770314674050985,-0.010770314674050985
2021-01-20,Combined,Equal Weight,benchmark,0.005661901921990958,0.0,0.0,0.005661901921990958,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0613969205235791,1.0603313778377421,-0.005169393217413498,-0.005169393217413498
2021-01-21,Combined,Equal Weight,benchmark,-0.027791277934350517,0.0,0.0,-0.027791277934350517,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0318993437066446,1.0308634138137405,-0.032817007108106866,-0.03281700710810698
2021-01-22,Combined,Equal Weight,benchmark,0.007759507727108145,0.0,0.0,0.007759507727108145,2021-01-04,2020-12-31,2020-01-03,2020-12-31,60,0,1.0399063746377342,1.0388624064388214,-0.02531214320123465,-0.02531214320123465
