date,fund_family,method,method_type,asset,asset_class,weight,live_rebalance_date,decision_date,estimation_start,estimation_end,estimation_window,sector,base_weight,pre_normalisation_multiplier,pre_normalisation_weight,overlay,tilt_strength,base_method,c_match
2021-01-04,Equity-only,Maximum Sharpe,optimisation,ABBV,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Healthcare,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,ABT,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Healthcare,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,ADBE,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Tech,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,AEP,equity,3.764495435305617e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Utilities,3.764495435305617e-17,1.0,3.764495435305617e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,AMD,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Tech,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,AMGN,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Healthcare,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,AMT,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,RealEstate,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,BA,equity,1.1312460126130261e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Industrials,1.1312460126130261e-17,1.0,1.1312460126130261e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,CAT,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Industrials,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,CCI,equity,8.568533715763588e-18,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,RealEstate,8.568533715763588e-18,1.0,8.568533715763588e-18,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,CMCSA,equity,1.4430408372278366e-16,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Comm,1.4430408372278366e-16,1.0,1.4430408372278366e-16,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,COP,equity,8.308674485533794e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Energy,8.308674485533794e-17,1.0,8.308674485533794e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,CVX,equity,1.0572814409264047e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Energy,1.0572814409264047e-17,1.0,1.0572814409264047e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,D,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Utilities,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,DD,equity,3.695793098452609e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Materials,3.695793098452609e-17,1.0,3.695793098452609e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,DIS,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Consumer,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,DOW,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Materials,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,DUK,equity,2.1083604547595226e-18,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Utilities,2.1083604547595226e-18,1.0,2.1083604547595226e-18,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,EA,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Comm,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,GE,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Industrials,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,GILD,equity,3.39860703888393e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Healthcare,3.39860703888393e-17,1.0,3.39860703888393e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,GS,equity,4.2251577630465227e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Financials,4.2251577630465227e-17,1.0,4.2251577630465227e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,INTC,equity,9.203630744375805e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Tech,9.203630744375805e-17,1.0,9.203630744375805e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,KO,equity,3.1971839806069745e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Consumer,3.1971839806069745e-17,1.0,3.1971839806069745e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,MMM,equity,2.163159036109361e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Industrials,2.163159036109361e-17,1.0,2.163159036109361e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,MRK,equity,3.4749638611056845e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Healthcare,3.4749638611056845e-17,1.0,3.4749638611056845e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,MS,equity,1.2627782679890593e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Financials,1.2627782679890593e-17,1.0,1.2627782679890593e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,NEE,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Utilities,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,NEM,equity,0.1621936655016211,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Materials,0.1621936655016211,1.0,0.1621936655016211,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,NKE,equity,1.0220239119135956e-16,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Consumer,1.0220239119135956e-16,1.0,1.0220239119135956e-16,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,NUE,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Materials,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,NVDA,equity,0.197527782382305,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Tech,0.197527782382305,1.0,0.197527782382305,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,O,equity,5.1783162001790665e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,RealEstate,5.1783162001790665e-17,1.0,5.1783162001790665e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,OXY,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Energy,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,PLD,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,RealEstate,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,PSA,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,RealEstate,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,QCOM,equity,0.0018346371745892,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Tech,0.0018346371745892,1.0,0.0018346371745892,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,SBUX,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Consumer,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,SHW,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Materials,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,SLB,equity,2.608958598802273e-17,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Energy,2.608958598802273e-17,1.0,2.608958598802273e-17,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,SO,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Utilities,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,T,equity,4.374765922167085e-18,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Comm,4.374765922167085e-18,1.0,4.374765922167085e-18,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,TMUS,equity,0.2911680597950627,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Comm,0.2911680597950627,1.0,0.2911680597950627,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,TTWO,equity,0.2396068525494941,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Comm,0.2396068525494941,1.0,0.2396068525494941,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,UPS,equity,0.1076690025969267,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Industrials,0.1076690025969267,1.0,0.1076690025969267,Base,0.1,Maximum Sharpe,
2021-01-04,Equity-only,Maximum Sharpe,optimisation,USB,equity,0.0,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,Financials,0.0,1.0,0.0,Base,0.1,Maximum Sharpe,
