date,fund_family,method,method_type,asset_class,exposure
2021-01-04,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-01-04,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-02-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-02-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-03-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-03-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-04-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-04-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-05-03,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-05-03,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-06-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-06-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-07-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-07-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-08-02,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-08-02,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-09-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-09-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-10-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-10-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-11-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-11-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-12-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2021-12-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-01-03,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-01-03,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-02-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-02-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-03-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-03-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-04-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-04-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-05-02,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-05-02,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-06-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-06-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-07-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-07-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-08-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-08-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-09-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-09-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-10-03,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-10-03,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-11-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-11-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2022-12-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2022-12-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-01-03,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-01-03,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-02-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-02-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-03-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-03-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-04-03,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-04-03,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-05-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-05-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-06-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-06-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-07-03,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-07-03,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-08-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-08-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-09-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-09-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-10-02,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-10-02,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-11-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-11-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2023-12-01,Combined,Equal Weight,benchmark,crypto,0.16666666666666666
2023-12-01,Combined,Equal Weight,benchmark,equity,0.8333333333333334
2021-01-04,Combined,Maximum Sharpe,optimisation,crypto,0.6350872416844663
2021-01-04,Combined,Maximum Sharpe,optimisation,equity,0.36491275831553377
2021-02-01,Combined,Maximum Sharpe,optimisation,crypto,0.5916546982492967
2021-02-01,Combined,Maximum Sharpe,optimisation,equity,0.4083453017507034
