base_method,overlay,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,total_turnover,average_rebalance_turnover,transaction_cost_drag,effective_number_holdings,maximum_single_asset_weight,maximum_sector_weight,sector_concentration_hhi,number_of_rebalances,observation_count,sample_start,sample_end
Maximum Sharpe,Base,0.08541301587501104,0.18211525687863941,0.46900527357754435,-0.2641262522687944,24.908840121459143,0.6919122255960873,0.0249088401214573,4.332609670237675,0.6416439852954117,0.7848644838284832,0.34993714978197615,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Confidence Lens minus Base,-0.0005881071555835504,0.0015742501821258137,-0.007221091798630452,0.0008211970664886437,0.0979989083485151,0.0027221918985698146,9.799890834849903e-05,-0.0023566960346608212,-0.025826255870108117,0.003501747255024834,-0.0019425198383290487,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Confidence Lens minus Placebo,-0.000513121609588385,0.00038118174818332906,-0.003759487247003812,-0.0004371095093403943,0.03804653189529006,0.0010568481082025016,3.804653189343199e-05,0.018007028022102745,-0.005034652042623766,0.0005792275154956616,-0.0009018826437328653,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Confidence Lens minus Standard,-0.0003984639917977706,-0.00040165183629969903,-0.001156967713648871,-0.0011093643341170134,-0.051431299157407295,-0.001428647198816857,-5.1431299157800314e-05,0.03195913568801245,0.007330738214971211,-0.001211692822898791,-0.0007666380135277207,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Matched-Shrinkage Placebo,0.08533803032901588,0.1833083253125819,0.4655436690259177,-0.26286794569296534,24.968792497912368,0.6935775693864547,0.024968792497912368,4.312245946180911,0.6208523814679273,0.7877870035680123,0.34889651258737997,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Placebo minus Base,-7.498554599516538e-05,0.0011930684339424846,-0.0034616045516266403,0.001258306575829038,0.05995237645322504,0.001665343790367313,5.995237645506704e-05,-0.020363724056763566,-0.02079160382748435,0.0029225197395291724,-0.0010406371945961834,36,753,2021-01-04,2023-12-29
Maximum Sharpe,SignalScope Confidence Lens,0.0848249087194275,0.18368950706076523,0.4617841817789139,-0.26330505520230574,25.006839029807658,0.6946344174946572,0.0250068390298058,4.330252974203014,0.6158177294253036,0.788366231083508,0.3479946299436471,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Standard Sentiment,0.08522337271122526,0.18409115889706493,0.46294114949256276,-0.2621956908681887,25.058270328965065,0.696063064693474,0.0250582703289636,4.298293838515002,0.6084869912103323,0.7895779239064068,0.3487612679571748,36,753,2021-01-04,2023-12-29
Minimum Variance,Base,0.051517865067367774,0.12752231358613844,0.4039909849390289,-0.15560369801203733,11.5191438254282,0.31997621737300563,0.0115191438254264,9.70386797183498,0.2866965609991128,0.5012757242116583,0.2243689487917113,36,753,2021-01-04,2023-12-29
Minimum Variance,Confidence Lens minus Base,-0.00148922695598519,0.0001578730244926052,-0.012163251604426717,-0.0035365057734788596,0.2882824183692456,0.008007844954701249,0.0002882824183692012,0.021545983657777157,-0.002673391775460998,-0.008210512496719224,-0.0037740684547082626,36,753,2021-01-04,2023-12-29
Minimum Variance,Confidence Lens minus Placebo,-0.0004280070859910001,2.3122816522447298e-05,-0.003423760768007489,-0.0005338795183895684,0.005076616756147345,0.0001410171321152287,5.076616754301835e-06,0.021224945776470605,-0.0009431273268790674,-0.0005429291689060811,-0.0007339440464236013,36,753,2021-01-04,2023-12-29
Minimum Variance,Confidence Lens minus Standard,0.0002698264944227535,-0.00010106503565843195,0.002421533474415316,0.0012935652547467758,-0.2393634626405916,-0.006648985073349822,-0.00023936346264069944,0.04035473638091247,0.00012043629547237034,0.0039988396144663985,0.0007087855656190412,36,753,2021-01-04,2023-12-29
Minimum Variance,Matched-Shrinkage Placebo,0.050456645197373584,0.1276570637941086,0.3952514941026097,-0.15860632426712662,11.802349627041298,0.32784304519559165,0.0118023496270413,9.704189009716286,0.28496629655053085,0.4936081408838452,0.22132882438342663,36,753,2021-01-04,2023-12-29
Minimum Variance,Placebo minus Base,-0.00106121986999419,0.0001347502079701579,-0.008739490836419228,-0.0030026262550892913,0.2832058016130983,0.00786682782258602,0.0002832058016148994,0.00032103788130655175,-0.0017302644485819307,-0.007667583327813143,-0.0030401244082846612,36,753,2021-01-04,2023-12-29
Minimum Variance,SignalScope Confidence Lens,0.050028638111382584,0.12768018661063105,0.3918277333346022,-0.1591402037855162,11.807426243797446,0.3279840623277069,0.011807426243795601,9.725413955492757,0.2840231692236518,0.4930652117149391,0.22059488033700303,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard Sentiment,0.04975881161695983,0.12778125164628948,0.3894061998601869,-0.16043376904026296,12.046789706438037,0.3346330474010567,0.0120467897064363,9.685059219111844,0.2839027329281794,0.4890663721004727,0.219886094771384,36,753,2021-01-04,2023-12-29
