scope,bucket,observation_count,average_confidence,average_selective_deviation,proportion_c_below_c_match
year,2021,120,0.5718167145362312,0.010894698670656388,
year,2022,120,0.6830109845501455,0.008861739147443188,
year,2023,120,0.7226478158311967,0.00848780391251881,
sector,Comm,36,0.6579899213781757,0.002428927964919384,0.3055555555555556
sector,Consumer,36,0.8246106032404702,0.01144275761627645,0.0
sector,Energy,36,0.745280444385652,0.00791976598489407,0.08333333333333333
sector,Financials,36,0.7657751083259764,0.01037353263814841,0.0
sector,Healthcare,36,0.7147149632362177,0.005505921071552981,0.19444444444444445
sector,Industrials,36,0.6286055032644824,0.0029595887806808923,0.5277777777777778
sector,Materials,36,0.4647462113753261,0.01262185312349999,1.0
sector,RealEstate,36,0.4984244146601989,0.010496910113452447,0.9444444444444444
sector,Tech,36,0.7795790913478076,0.008865782382534746,0.25
sector,Utilities,36,0.511858788510938,0.021532432759435248,0.8055555555555556
