base_method,overlay,tilt_strength,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,total_turnover,average_rebalance_turnover,transaction_cost_drag,effective_number_holdings,maximum_single_asset_weight,maximum_sector_weight,sector_concentration_hhi,number_of_rebalances,observation_count,sample_start,sample_end
Maximum Sharpe,Base,0.05,0.08541301587501171,0.18211525687864,0.4690052735775465,-0.2641262522687938,24.908840121459143,0.6919122255960873,0.024908840121459143,4.332609670237673,0.6416439852954117,0.7848644838284832,0.34993714978197626,36,753,2021-01-04,2023-12-29
Maximum Sharpe,SignalScope Confidence Lens,0.05,0.08515047801435371,0.18287530622172513,0.4656204261449819,-0.26369053513382745,24.93137799637927,0.6925382776772019,0.02493137799637927,4.332528559920212,0.6288318751064947,0.7865807806803762,0.348807980944373,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Standard Sentiment,0.05,0.08536806014512921,0.18304283007663108,0.4663829777401812,-0.263119986449489,24.941925480673813,0.6928312633520503,0.02494192548067381,4.316881069515365,0.6252492889689325,0.7871598186566825,0.3490293082926014,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Base,0.1,0.08541301587501171,0.18211525687864,0.4690052735775465,-0.2641262522687938,24.908840121459143,0.6919122255960873,0.024908840121459143,4.332609670237673,0.6416439852954117,0.7848644838284832,0.34993714978197626,36,753,2021-01-04,2023-12-29
Maximum Sharpe,SignalScope Confidence Lens,0.1,0.08482490871942683,0.1836895070607658,0.4617841817789088,-0.26330505520230585,25.006839029807658,0.6946344174946572,0.025006839029807656,4.330252974203013,0.6158177294253036,0.7883662310835081,0.34799462994364727,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Standard Sentiment,0.1,0.0852233727112286,0.18409115889706554,0.46294114949257936,-0.2621956908681876,25.058270328965065,0.696063064693474,0.02505827032896507,4.298293838515,0.6084869912103323,0.7895779239064068,0.34876126795717494,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Base,0.2,0.08541301587501171,0.18211525687864,0.4690052735775465,-0.2641262522687938,24.908840121459143,0.6919122255960873,0.024908840121459143,4.332609670237673,0.6416439852954117,0.7848644838284832,0.34993714978197626,36,753,2021-01-04,2023-12-29
Maximum Sharpe,SignalScope Confidence Lens,0.2,0.08402174030796039,0.18548621130808807,0.45298105835156843,-0.2626710426568597,25.194693873785667,0.6998526076051574,0.02519469387378567,4.318632431446188,0.6092640453394597,0.7921620125711707,0.3473201713195367,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Standard Sentiment,0.2,0.08468684085055722,0.18657038406342824,0.45391363305424876,-0.26058354473892864,25.358927378126012,0.7044146493923893,0.025358927378126013,4.251894072208788,0.6113114762336604,0.7948240718050236,0.35014782083781715,36,753,2021-01-04,2023-12-29
Minimum Variance,Base,0.05,0.05151786506736822,0.12752231358613902,0.4039909849390305,-0.15560369801203833,11.519143825428202,0.31997621737300563,0.0115191438254282,9.703867971834972,0.28669656099911284,0.5012757242116584,0.2243689487917115,36,753,2021-01-04,2023-12-29
Minimum Variance,SignalScope Confidence Lens,0.05,0.05080221292494502,0.12758725140357347,0.3981762469688422,-0.15733811676167264,11.633029803103735,0.32313971675288156,0.011633029803103734,9.71946827429118,0.28539073691830763,0.4972035481000196,0.22240149034062004,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard Sentiment,0.05,0.0506931903315444,0.12762064564208617,0.39721778617006953,-0.15796315668807182,11.728058347477084,0.3257793985410301,0.011728058347477085,9.707609776124853,0.28533817315801124,0.49522640728458106,0.22190692869604123,36,753,2021-01-04,2023-12-29
Minimum Variance,Base,0.1,0.05151786506736822,0.12752231358613902,0.4039909849390305,-0.15560369801203833,11.519143825428202,0.31997621737300563,0.0115191438254282,9.703867971834972,0.28669656099911284,0.5012757242116584,0.2243689487917115,36,753,2021-01-04,2023-12-29
Minimum Variance,SignalScope Confidence Lens,0.1,0.05002863811138236,0.12768018661063166,0.3918277333345986,-0.15914020378551674,11.807426243797448,0.3279840623277069,0.011807426243797447,9.725413955492748,0.28402316922365184,0.49306521171493933,0.22059488033700328,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard Sentiment,0.1,0.04975881161696072,0.1277812516462901,0.3894061998601919,-0.1604337690402634,12.046789706438037,0.3346330474010567,0.012046789706438037,9.685059219111833,0.28390273292817947,0.4890663721004729,0.2198860947713842,36,753,2021-01-04,2023-12-29
Minimum Variance,Base,0.2,0.05151786506736822,0.12752231358613902,0.4039909849390305,-0.15560369801203833,11.519143825428202,0.31997621737300563,0.0115191438254282,9.703867971834972,0.28669656099911284,0.5012757242116584,0.2243689487917115,36,753,2021-01-04,2023-12-29
Minimum Variance,SignalScope Confidence Lens,0.2,0.048307174024448285,0.12795421788683833,0.3775348309906498,-0.16295161342337217,12.319555212077727,0.34220986700215916,0.01231955521207773,9.70662950914199,0.2810844170091518,0.48458350221160934,0.21751182822814213,36,753,2021-01-04,2023-12-29
Minimum Variance,Standard Sentiment,0.2,0.047569348617835905,0.12830005875437853,0.37076638217994967,-0.1657403299794311,12.943457750894286,0.35954049308039676,0.012943457750894284,9.563234969200142,0.28077289428925883,0.47640176168330106,0.21725315997158878,36,753,2021-01-04,2023-12-29
