fund_family,method,method_type,live_rebalance_date,decision_date,estimation_start,estimation_end,estimation_window,periods_per_year,eligible_asset_count,valid_observation_count,solver_success,solver_status,solver_message,objective_value,weight_sum,weight_sum_residual,min_weight,max_weight,covariance_condition,regularisation_jitter,fallback_used,fallback_reason,constraints
Combined,Equal Weight,benchmark,2021-01-04,2020-12-31,2020-01-03,2020-12-31,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-02-01,2021-01-29,2020-01-31,2021-01-29,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-03-01,2021-02-26,2020-02-28,2021-02-26,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-04-01,2021-03-31,2020-04-01,2021-03-31,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-05-03,2021-04-30,2020-05-01,2021-04-30,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-06-01,2021-05-28,2020-06-01,2021-05-28,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-07-01,2021-06-30,2020-07-01,2021-06-30,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-08-02,2021-07-30,2020-07-31,2021-07-30,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-09-01,2021-08-31,2020-09-01,2021-08-31,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-10-01,2021-09-30,2020-10-01,2021-09-30,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-11-01,2021-10-29,2020-10-30,2021-10-29,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2021-12-01,2021-11-30,2020-12-01,2021-11-30,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
Combined,Equal Weight,benchmark,2022-01-03,2021-12-31,2021-01-04,2021-12-31,252,252,60,252,True,benchmark,Equal Weight benchmark,,1.0,0.0,0.016666666666666666,0.016666666666666666,,0.0,False,,long_only; fully_invested; no_leverage
