fund_family,method,method_type,live_rebalance_date,decision_date,turnover,transaction_cost_rate,transaction_cost
Combined,Equal Weight,benchmark,2021-01-04,2020-12-31,1.0,0.001,0.001
Combined,Equal Weight,benchmark,2021-02-01,2021-01-29,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-03-01,2021-02-26,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-04-01,2021-03-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-05-03,2021-04-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-06-01,2021-05-28,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-07-01,2021-06-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-08-02,2021-07-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-09-01,2021-08-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-10-01,2021-09-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-11-01,2021-10-29,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2021-12-01,2021-11-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-01-03,2021-12-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-02-01,2022-01-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-03-01,2022-02-28,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-04-01,2022-03-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-05-02,2022-04-29,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-06-01,2022-05-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-07-01,2022-06-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-08-01,2022-07-29,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-09-01,2022-08-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-10-03,2022-09-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-11-01,2022-10-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2022-12-01,2022-11-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-01-03,2022-12-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-02-01,2023-01-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-03-01,2023-02-28,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-04-03,2023-03-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-05-01,2023-04-28,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-06-01,2023-05-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-07-03,2023-06-30,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-08-01,2023-07-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-09-01,2023-08-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-10-02,2023-09-29,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-11-01,2023-10-31,0.0,0.001,0.0
Combined,Equal Weight,benchmark,2023-12-01,2023-11-30,0.0,0.001,0.0
Combined,Maximum Sharpe,optimisation,2021-01-04,2020-12-31,0.9999999999999999,0.001,0.0009999999999999998
Combined,Maximum Sharpe,optimisation,2021-02-01,2021-01-29,0.5290307559398748,0.001,0.0005290307559398748
Combined,Maximum Sharpe,optimisation,2021-03-01,2021-02-26,0.9243528965985363,0.001,0.0009243528965985362
Combined,Maximum Sharpe,optimisation,2021-04-01,2021-03-31,1.0738968104612294,0.001,0.0010738968104612293
Combined,Maximum Sharpe,optimisation,2021-05-03,2021-04-30,0.7549065445372665,0.001,0.0007549065445372665
