scope,sector,timing_bucket,headline_count,average_compound,average_absolute_compound,near_zero_share
overall,ALL,carried_over,12551,0.1270025974025974,0.2119979603218867,0.4693649908373835
overall,ALL,same_day,134279,0.1036106003172499,0.19727205296435033,0.49820150581997186
sector,Comm,carried_over,1069,0.10378409728718428,0.1906733395696913,0.5060804490177736
sector,Comm,same_day,10714,0.09903268620496547,0.18698837035654284,0.5246406570841889
sector,Consumer,carried_over,2793,0.11290565699964197,0.20311790189760115,0.49445041174364485
sector,Consumer,same_day,23084,0.09213035002599203,0.18956235487783746,0.5194940218333044
sector,Energy,carried_over,1391,0.13245061107117181,0.23293386053199136,0.4248741912293314
sector,Energy,same_day,17974,0.10393838878379882,0.21591068209636144,0.43924557694447536
sector,Financials,carried_over,1243,0.09846242960579243,0.19666596942880127,0.4835076427996782
sector,Financials,same_day,17026,0.08897001057206624,0.19635126277458004,0.493186890637848
sector,Healthcare,carried_over,1418,0.12652461212976024,0.21553942172073343,0.47249647390691113
sector,Healthcare,same_day,13279,0.10527093907673771,0.20449535356578058,0.5041042247157166
sector,Industrials,carried_over,977,0.1110267144319345,0.19376632548618222,0.5025588536335721
sector,Industrials,same_day,12179,0.08844936365875687,0.19479339847278104,0.4982346662287544
sector,Materials,carried_over,293,0.1156075085324232,0.18051262798634815,0.43686006825938567
sector,Materials,same_day,5100,0.09439798039215687,0.15897986274509804,0.5839215686274509
sector,RealEstate,carried_over,542,0.1846856088560886,0.23880332103321034,0.4132841328413284
sector,RealEstate,same_day,4797,0.12747583906608298,0.17710952678757558,0.5468000833854493
sector,Tech,carried_over,2271,0.14629409951563185,0.21867851166886837,0.4808454425363276
sector,Tech,same_day,24361,0.11296517384343828,0.19901577110956037,0.5050285292065186
sector,Utilities,carried_over,554,0.19314043321299637,0.2658779783393502,0.3104693140794224
sector,Utilities,same_day,5765,0.17727130962705984,0.22374509973980922,0.403642671292281
