base_method,overlay,tilt_strength,annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,total_turnover,average_rebalance_turnover,transaction_cost_drag,effective_number_holdings,maximum_single_asset_weight,maximum_sector_weight,sector_concentration_hhi,number_of_rebalances,observation_count,sample_start,sample_end
Maximum Sharpe,Base,0.05,0.08541301587501171,0.18211525687864,0.4690052735775465,-0.2641262522687938,24.908840121459143,0.6919122255960873,0.024908840121459143,4.332609670237673,0.6416439852954117,0.7848644838284832,0.34993714978197626,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Confidence Lens minus Base,0.05,-0.00026253786065799645,0.0007600493430851285,-0.0033848474325646194,0.00043571713496637354,0.02253787492012549,0.0006260520811145476,2.253787492012549e-05,-8.111031746071973e-05,-0.012812110188916925,0.0017162968518930066,-0.0011291688376032782,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Confidence Lens minus Standard,0.05,-0.00021758213077549549,-0.00016752385490595434,-0.0007625515951993345,-0.0005705486843384788,-0.010547484294544773,-0.00029298567484836724,-1.054748429454161e-05,0.01564749040484692,0.003582586137562238,-0.000579037976306318,-0.00022132734822843947,36,753,2021-01-04,2023-12-29
Maximum Sharpe,SignalScope Confidence Lens,0.05,0.08515047801435371,0.18287530622172513,0.4656204261449819,-0.26369053513382745,24.93137799637927,0.6925382776772019,0.02493137799637927,4.332528559920212,0.6288318751064947,0.7865807806803762,0.348807980944373,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Standard Sentiment,0.05,0.08536806014512921,0.18304283007663108,0.4663829777401812,-0.263119986449489,24.941925480673813,0.6928312633520503,0.02494192548067381,4.316881069515365,0.6252492889689325,0.7871598186566825,0.3490293082926014,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Standard minus Base,0.05,-4.495572988250096e-05,0.0009275731979910828,-0.002622295837365285,0.0010062658193048524,0.03308535921467026,0.0009190377559629148,3.30853592146671e-05,-0.01572860072230764,-0.016394696326479163,0.0022953348281993247,-0.0009078414893748388,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Base,0.1,0.08541301587501171,0.18211525687864,0.4690052735775465,-0.2641262522687938,24.908840121459143,0.6919122255960873,0.024908840121459143,4.332609670237673,0.6416439852954117,0.7848644838284832,0.34993714978197626,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Confidence Lens minus Base,0.1,-0.0005881071555848827,0.0015742501821258137,-0.007221091798637724,0.0008211970664879775,0.0979989083485151,0.0027221918985698146,9.799890834851291e-05,-0.002356696034659933,-0.025826255870108117,0.003501747255024945,-0.0019425198383289932,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Confidence Lens minus Standard,0.1,-0.0003984639918017674,-0.0004016518362997268,-0.0011569677136705758,-0.0011093643341182347,-0.051431299157407295,-0.001428647198816857,-5.1431299157415206e-05,0.03195913568801334,0.007330738214971211,-0.00121169282289868,-0.0007666380135276651,36,753,2021-01-04,2023-12-29
Maximum Sharpe,SignalScope Confidence Lens,0.1,0.08482490871942683,0.1836895070607658,0.4617841817789088,-0.26330505520230585,25.006839029807658,0.6946344174946572,0.025006839029807656,4.330252974203013,0.6158177294253036,0.7883662310835081,0.34799462994364727,36,753,2021-01-04,2023-12-29
Maximum Sharpe,Standard Sentiment,0.1,0.0852233727112286,0.18409115889706554,0.46294114949257936,-0.2621956908681876,25.058270328965065,0.696063064693474,0.02505827032896507,4.298293838515,0.6084869912103323,0.7895779239064068,0.34876126795717494,36,753,2021-01-04,2023-12-29
